Waktu (HH:MM:SS.ms),Nilai ADC
16:41:25.760,1141
16:41:25.763,615
16:41:25.763,271
16:41:25.763,133
16:41:25.763,108
16:41:25.763,100
16:41:25.763,92
16:41:25.763,94
16:41:25.763,93
16:41:25.763,82
16:41:25.763,84
16:41:25.768,88
16:41:25.768,81
16:41:25.768,86
16:41:25.768,81
16:41:25.768,80
16:41:25.768,85
16:41:25.768,84
16:41:25.768,86
16:41:25.828,99
16:41:25.939,84
16:41:26.038,95
16:41:26.135,96
16:41:26.233,90
16:41:26.336,83
16:41:26.438,84
16:41:26.539,78
16:41:26.644,114
16:41:26.739,158
16:41:26.839,289
16:41:26.939,477
16:41:27.036,667
16:41:27.138,914
16:41:27.240,1047
16:41:27.340,1225
16:41:27.446,1371
16:41:27.540,1482
16:41:27.640,1599
16:41:27.733,1665
16:41:27.840,1625
16:41:27.938,1503
16:41:28.042,1325
16:41:28.140,1152
16:41:28.240,911
16:41:28.331,697
16:41:28.439,511
16:41:28.539,350
16:41:28.636,251
16:41:28.739,158
16:41:28.833,129
16:41:28.936,122
16:41:29.036,98
16:41:29.137,97
16:41:29.237,89
16:41:29.338,81
16:41:29.436,89
16:41:29.544,105
16:41:29.632,123
16:41:29.736,144
16:41:29.839,182
16:41:29.933,201
16:41:30.035,208
16:41:30.141,215
16:41:30.246,202
16:41:30.339,187
16:41:30.436,185
16:41:30.539,115
16:41:30.639,144
16:41:30.733,138
16:41:30.841,112
16:41:30.940,105
16:41:31.039,102
16:41:31.138,86
16:41:31.234,86
16:41:31.337,81
16:41:31.438,97
16:41:31.538,82
16:41:31.632,81
16:41:31.736,85
16:41:31.840,87
16:41:31.935,97
16:41:32.036,91
16:41:32.131,97
16:41:32.233,87
16:41:32.338,89
16:41:32.431,82
16:41:32.535,91
16:41:32.639,112
16:41:32.731,97
16:41:32.834,85
16:41:32.937,83
16:41:33.036,84
16:41:33.133,80
16:41:33.240,85
16:41:33.335,96
16:41:33.438,80
16:41:33.539,99
16:41:33.637,87
16:41:33.732,107
16:41:33.836,90
16:41:33.931,91
16:41:34.036,155
16:41:34.140,258
16:41:34.235,610
16:41:34.339,819
16:41:34.436,811
16:41:34.534,1018
16:41:34.641,1153
16:41:34.740,1391
16:41:34.832,2186
16:41:34.932,1982
16:41:35.039,2266
16:41:35.135,2439
16:41:35.240,2474
16:41:35.341,2595
16:41:35.440,2549
16:41:35.536,2335
16:41:35.636,1913
16:41:35.737,2433
16:41:35.839,2595
16:41:35.936,2387
16:41:36.035,2489
16:41:36.140,2416
16:41:36.233,2096
16:41:36.340,2661
16:41:36.441,2153
16:41:36.542,2352
16:41:36.633,2173
16:41:36.739,1975
16:41:36.834,1872
16:41:36.940,1669
16:41:37.033,1797
16:41:37.140,1510
16:41:37.233,1426
16:41:37.333,1418
16:41:37.433,1638
16:41:37.539,1477
16:41:37.635,1392
16:41:37.743,933
16:41:37.838,1251
16:41:37.941,1035
16:41:38.040,765
16:41:38.132,592
16:41:38.236,319
16:41:38.339,186
16:41:38.439,257
16:41:38.537,329
16:41:38.639,333
16:41:38.740,327
16:41:38.841,290
16:41:38.936,240
16:41:39.042,155
16:41:39.136,114
16:41:39.232,98
16:41:39.335,83
16:41:39.438,83
16:41:39.539,89
16:41:39.637,87
16:41:39.741,99
16:41:39.839,86
16:41:39.935,87
16:41:40.038,84
16:41:40.138,85
16:41:40.233,82
16:41:40.338,85
16:41:40.438,82
16:41:40.538,86
16:41:40.634,81
16:41:40.736,86
16:41:40.831,81
16:41:40.937,88
16:41:41.032,78
16:41:41.133,93
16:41:41.232,87
16:41:41.338,98
16:41:41.441,81
16:41:41.533,85
16:41:41.638,106
16:41:41.731,89
16:41:41.839,82
16:41:41.933,101
16:41:42.034,93
16:41:42.133,93
16:41:42.235,81
16:41:42.341,96
16:41:42.433,96
16:41:42.538,84
16:41:42.631,86
16:41:42.734,91
16:41:42.836,99
16:41:42.939,99
16:41:43.039,110
16:41:43.140,105
16:41:43.230,114
16:41:43.336,111
16:41:43.434,114
16:41:43.535,111
16:41:43.639,115
16:41:43.737,95
16:41:43.837,103
16:41:43.937,103
16:41:44.033,83
16:41:44.138,89
16:41:44.235,95
16:41:44.336,90
16:41:44.431,83
16:41:44.537,96
16:41:44.634,87
16:41:44.735,89
16:41:44.838,87
16:41:44.931,85
16:41:45.034,90
